video_id,title,description,published_at,views,likes,comments
gJMAhvkiKR4,Let's Stand and Bang! 👊  | UFC Vegas 110 Media Day,"Listen to Steve Garcia and his opponent David Onama answer questions from the press ahead of their main event matchup at UFC Vegas 110.

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

Chapters:
0:00 Steve Garcia
11:28 David Onama

#UFC #ufcvegas110 #mediaday",2025-10-29T21:51:17Z,5543,203,46
7kaXvClB6wM,the moment Glover Teixeira become UFC Champ! 🚨 #ufcglorydays,"Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #shorts #ufcglorydays",2025-10-29T19:45:00Z,9623,412,11
HMoUZPvEqMs,Glover Teixeira On Becoming One Of The Oldest UFC Champions | UFC GLORY DAYS CLIP,"Former UFC Light Heavyweight Champion Glover Teixeira joins host RJ Clifford to reflect on UFC 267 where he defeated Jan Blachowicz for UFC gold. Glover and RJ chat about the best moments, the funniest calls, and mysterious Fight Island baristas.

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #GloryDays #podcast #ufcglorydays #fanatics",2025-10-29T18:45:03Z,11478,298,42
c7IVXSMtgiw,Glover Teixeira is coming back? 🤔 #ufcglorydays,"Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #shorts #ufcglorydays",2025-10-29T18:15:08Z,24029,493,26
#NAME?,The call out that started it all! 😮 #ufc322,"Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #ufc322 #shorts",2025-10-29T17:25:34Z,118650,4528,183
AmFbSAEYhU8,"Glover Teixeira On Khamzat Chimaev, Post-Fight Beers, and UFC Champ At 42: UFC GLORY DAYS Ep. 104","Former UFC Light Heavyweight Champion Glover Teixeira joins host RJ Clifford to reflect on UFC 267 where he defeated Jan Blachowicz for UFC gold. Glover and RJ chat about the best moments, the funniest calls, and mysterious Fight Island baristas.

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #GloryDays #podcast #ufcglorydays #fanatics",2025-10-29T15:00:20Z,5999,168,26
fGaEDwZ6RAE,6 INSANE FIGHTS From Dana White's Contender Series Season 9 😳,"Relive some of the GREATEST fights from Dana White's Contender Series Season 9 🚨

Read more here: https://ufc.ac/4oU62kP

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

Chapters:
0:00 Rahiki vs Mulumbia
9:14 Chaves vs Montenegro
26:18 Nallo vs Silva
31:26 Martinetti vs Vologdin
48:46 Susurkaev vs Talha
53:23 Baraniewski vs Aly

#UFC #fullfight #marathon #dwcs",2025-10-29T11:45:05Z,47484,1332,136
7dX99EdvSmg,is Daniel Cormier athletic? 🤔 #ufcshorts,"Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #shorts",2025-10-28T21:51:28Z,190845,7309,221
TeKqylibsoQ,Unseen footage from Aspinall vs Gane 😲 #ufc321,"Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #shorts #ufc321",2025-10-28T17:14:03Z,251122,4878,814
fxkCVKlyAjQ,David Onama vs Giga Chikadze  | FULL FIGHT | UFC Vegas 110,"Rewatch the full fight between David Onama and Giga Chikadze ahead of Onama's main event matchup against Steve Garcia at UFC Vegas 110!

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #ufcvegas110 #fullfight",2025-10-28T16:01:30Z,37464,676,81
